"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"w10152065_kgp","beach","beach","1",1,2,"JOL","box","Study1","M","Study Phase",10,"Recall1",4989
"w10152143_ars","election","beach","0.25",0,2,"JOL","box","Study1","M","Study Phase",10,"Recall1",4833
"w10152190_mm","key","beach","0.2",0,2,"JOL","box","Study1","M","Study Phase",23,"Recall1",1875
"w10152527_jmt","library","beach","0.285714285714286",0,2,"JOL","box","Study1","M","Study Phase",20,"Recall1",8808
"w10159882_ARS","paper","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",10,"Recall1",9260
"w10160519_vas","car","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",25,"Recall1",2133
"w10161022_mj","fox","beach","0",0,2,"JOL","box","Study1","M","Study Phase",22,"Recall1",2643
"w10168271ae","beach","beach","1",1,2,"JOL","box","Study1","M","Study Phase",40,"Recall1",6899
"w470603_jgn","phone","beach","0.4",0,2,"JOL","box","Study1","M","Study Phase",10,"Recall1",4189
"w738206JEH","bath","beach","0.6",0,2,"JOL","box","Study1","M","Study Phase",11,"Recall1",17565
"10158411AW","decorate","hand","0.25",0,2,"JOL","cake","Study1","U","Study Phase",10,"Recall1",24623
"10178510lj","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",21,"Recall1",5799
"w10125208_cfe","cup","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",60,"Recall1",4413
"w10132740_fmm","icing","hand","0.2",0,2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",6005
"w10137415_tj","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",9607
"w10139313_DNM","hand","hand","1",1,2,"JOL","cake","Study1","U","Study Phase",60,"Recall1",5060
"w10143279D.A","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",4,"Recall1",4458
"w10152065_kgp","hand","hand","1",1,2,"JOL","cake","Study1","U","Study Phase",20,"Recall1",2921
"w10152143_ars","face","hand","0.25",0,2,"JOL","cake","Study1","U","Study Phase",40,"Recall1",2358
"w10152190_mm","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",67,"Recall1",5152
"w10152527_jmt","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",20,"Recall1",3026
"w10159882_ARS","","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",5593
"w10160519_vas","bake","hand","0.25",0,2,"JOL","cake","Study1","U","Study Phase",65,"Recall1",7641
"w10161022_mj","hand","hand","1",1,2,"JOL","cake","Study1","U","Study Phase",41,"Recall1",1957
"w10168271ae","pie","hand","0",0,2,"JOL","cake","Study1","U","Study Phase",20,"Recall1",3838
"w470603_jgn","fingers","hand","0.142857142857143",0,2,"JOL","cake","Study1","U","Study Phase",0,"Recall1",4606
"w738206JEH","hand","hand","1",1,2,"JOL","cake","Study1","U","Study Phase",9,"Recall1",7120
"10158411AW","couch","ceiling","0.142857142857143",0,2,"JOL","carpet","Study1","M","Study Phase",12,"Recall1",15396
"10178510lj","","ceiling","0",0,2,"JOL","carpet","Study1","M","Study Phase",10,"Recall1",3307
"w10125208_cfe","ceiling ","ceiling","0.875",1,2,"JOL","carpet","Study1","M","Study Phase",75,"Recall1",4972
"w10132740_fmm","rug","ceiling","0.142857142857143",0,2,"JOL","carpet","Study1","M","Study Phase",0,"Recall1",3946
"w10137415_tj","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",0,"Recall1",2468
"w10139313_DNM","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",67,"Recall1",3423
"w10143279D.A","rough","ceiling","0.142857142857143",0,2,"JOL","carpet","Study1","M","Study Phase",60,"Recall1",3449
"w10152065_kgp","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",16,"Recall1",3612
"w10152143_ars","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",50,"Recall1",11946
"w10152190_mm","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",50,"Recall1",3350
"w10152527_jmt","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",25,"Recall1",7091
"w10159882_ARS","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",60,"Recall1",3572
"w10160519_vas","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",90,"Recall1",2429
"w10161022_mj","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",97,"Recall1",2162
"w10168271ae","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",50,"Recall1",8046
"w470603_jgn","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",50,"Recall1",3140
"w738206JEH","ceiling","ceiling","1",1,2,"JOL","carpet","Study1","M","Study Phase",70,"Recall1",4181
"10158411AW","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",5,"Recall1",5026
"10178510lj","","hard","0",0,2,"JOL","cotton","Study1","M","Study Phase",12,"Recall1",4828
"w10125208_cfe","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",20,"Recall1",4444
"w10132740_fmm","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",2053
"w10137415_tj","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",2214
"w10139313_DNM","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",30,"Recall1",5602
"w10143279D.A","sot ","hard","0",0,2,"JOL","cotton","Study1","M","Study Phase",70,"Recall1",2496
"w10152065_kgp","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",2293
"w10152143_ars","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",40,"Recall1",4436
"w10152190_mm","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",40,"Recall1",6758
"w10152527_jmt","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",30,"Recall1",10003
"w10159882_ARS","candy","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",5493
"w10160519_vas","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",1778
"w10161022_mj","rough","hard","0.4",0,2,"JOL","cotton","Study1","M","Study Phase",70,"Recall1",1842
"w10168271ae","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",20,"Recall1",1872
"w470603_jgn","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",0,"Recall1",2419
"w738206JEH","hard","hard","1",1,2,"JOL","cotton","Study1","M","Study Phase",30,"Recall1",3595
"10158411AW","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",2,"Recall1",7800
"10178510lj","","election","0",0,2,"JOL","crackle","Study1","U","Study Phase",2,"Recall1",1264
"w10125208_cfe","election","election","1",1,2,"JOL","crackle","Study1","U","Study Phase",20,"Recall1",6873
"w10132740_fmm","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",2721
"w10137415_tj","election","election","1",1,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",3461
"w10139313_DNM","","election","0",0,2,"JOL","crackle","Study1","U","Study Phase",36,"Recall1",2761
"w10143279D.A","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",2298
"w10152065_kgp","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",3110
"w10152143_ars","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",40,"Recall1",7171
"w10152190_mm","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",19,"Recall1",1765
"w10152527_jmt","","election","0",0,2,"JOL","crackle","Study1","U","Study Phase",2,"Recall1",4916
"w10159882_ARS","pop","election","0.125",0,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",3080
"w10160519_vas","electricution","election","0.615384615384615",0,2,"JOL","crackle","Study1","U","Study Phase",10,"Recall1",5372
"w10161022_mj","beacon","election","0.5",0,2,"JOL","crackle","Study1","U","Study Phase",22,"Recall1",6706
"w10168271ae","?","election","0",0,2,"JOL","crackle","Study1","U","Study Phase",10,"Recall1",2794
"w470603_jgn","sound","election","0.25",0,2,"JOL","crackle","Study1","U","Study Phase",0,"Recall1",3094
"w738206JEH","election","election","1",1,2,"JOL","crackle","Study1","U","Study Phase",79,"Recall1",3816
"10158411AW","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",97,"Recall1",2692
"10178510lj","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",60,"Recall1",2155
"w10125208_cfe","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",99,"Recall1",2065
"w10132740_fmm","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",2073
"w10137415_tj","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",1392
"w10139313_DNM","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",1797
"w10143279D.A","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",1971
"w10152065_kgp","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",2337
"w10152143_ars","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",90,"Recall1",2531
"w10152190_mm","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",1555
"w10152527_jmt","","card","0",0,2,"JOL","credit","Study1","F","Study Phase",68,"Recall1",6122
"w10159882_ARS","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",3156
"w10160519_vas","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",99,"Recall1",1506
"w10161022_mj","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",2033
"w10168271ae","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",90,"Recall1",2073
"w470603_jgn","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",1859
"w738206JEH","card","card","1",1,2,"JOL","credit","Study1","F","Study Phase",100,"Recall1",3721
"10158411AW","","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",34,"Recall1",3227
"10178510lj","","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",13,"Recall1",1174
"w10125208_cfe","circle ","circle","0.857142857142857",1,2,"JOL","dance","Study1","M","Study Phase",80,"Recall1",4693
"w10132740_fmm","music","circle","0.333333333333333",0,2,"JOL","dance","Study1","M","Study Phase",0,"Recall1",4981
"w10137415_tj","circle","circle","1",1,2,"JOL","dance","Study1","M","Study Phase",90,"Recall1",2473
"w10139313_DNM","circle","circle","1",1,2,"JOL","dance","Study1","M","Study Phase",85,"Recall1",3182
"w10143279D.A","play","circle","0.166666666666667",0,2,"JOL","dance","Study1","M","Study Phase",20,"Recall1",3480
"w10152065_kgp","party","circle","0.166666666666667",0,2,"JOL","dance","Study1","M","Study Phase",90,"Recall1",3384
"w10152143_ars","off","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",70,"Recall1",2656
"w10152190_mm","","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",58,"Recall1",1462
"w10152527_jmt","circle","circle","1",1,2,"JOL","dance","Study1","M","Study Phase",20,"Recall1",3581
"w10159882_ARS","move","circle","0.166666666666667",0,2,"JOL","dance","Study1","M","Study Phase",0,"Recall1",3944
"w10160519_vas","circle","circle","1",1,2,"JOL","dance","Study1","M","Study Phase",50,"Recall1",2578
"w10161022_mj","monkey","circle","0.166666666666667",0,2,"JOL","dance","Study1","M","Study Phase",55,"Recall1",5696
"w10168271ae","?","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",30,"Recall1",5695
"w470603_jgn","a","circle","0",0,2,"JOL","dance","Study1","M","Study Phase",0,"Recall1",8512
"w738206JEH","circle","circle","1",1,2,"JOL","dance","Study1","M","Study Phase",77,"Recall1",5523
"10158411AW","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",55,"Recall1",2678
"10178510lj","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",12,"Recall1",2410
"w10125208_cfe","morning ","day","0",0,2,"JOL","dark","Study1","M","Study Phase",60,"Recall1",10144
"w10132740_fmm","night","day","0",0,2,"JOL","dark","Study1","M","Study Phase",0,"Recall1",2589
"w10137415_tj","","day","0",0,2,"JOL","dark","Study1","M","Study Phase",0,"Recall1",4084
"w10139313_DNM","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",50,"Recall1",2688
"w10143279D.A","night","day","0",0,2,"JOL","dark","Study1","M","Study Phase",100,"Recall1",2969
"w10152065_kgp","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",72,"Recall1",3292
"w10152143_ars","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",80,"Recall1",4803
"w10152190_mm","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",100,"Recall1",1191
"w10152527_jmt","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",15,"Recall1",5178
"w10159882_ARS","light","day","0",0,2,"JOL","dark","Study1","M","Study Phase",100,"Recall1",5425
"w10160519_vas","hot","day","0",0,2,"JOL","dark","Study1","M","Study Phase",NA,"Recall1",3290
"w10161022_mj","morning","day","0",0,2,"JOL","dark","Study1","M","Study Phase",76,"Recall1",5121
"w10168271ae","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",50,"Recall1",1786
"w470603_jgn","morning","day","0",0,2,"JOL","dark","Study1","M","Study Phase",20,"Recall1",3136
"w738206JEH","day","day","1",1,2,"JOL","dark","Study1","M","Study Phase",70,"Recall1",6001
"10158411AW","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",7,"Recall1",4207
"10178510lj","","wedding","0",0,2,"JOL","finger","Study1","M","Study Phase",42,"Recall1",1219
"w10125208_cfe","wedding ","wedding","0.875",1,2,"JOL","finger","Study1","M","Study Phase",20,"Recall1",3820
"w10132740_fmm","ring","wedding","0.428571428571429",0,2,"JOL","finger","Study1","M","Study Phase",0,"Recall1",2527
"w10137415_tj","","wedding","0",0,2,"JOL","finger","Study1","M","Study Phase",50,"Recall1",3707
"w10139313_DNM","","wedding","0",0,2,"JOL","finger","Study1","M","Study Phase",67,"Recall1",3318
"w10143279D.A","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",2,"Recall1",7320
"w10152065_kgp","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",10,"Recall1",4694
"w10152143_ars","nail","wedding","0.285714285714286",0,2,"JOL","finger","Study1","M","Study Phase",50,"Recall1",2285
"w10152190_mm","key","wedding","0.142857142857143",0,2,"JOL","finger","Study1","M","Study Phase",20,"Recall1",3555
"w10152527_jmt","","wedding","0",0,2,"JOL","finger","Study1","M","Study Phase",25,"Recall1",4763
"w10159882_ARS","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",0,"Recall1",4417
"w10160519_vas","cracker","wedding","0.142857142857143",0,2,"JOL","finger","Study1","M","Study Phase",66,"Recall1",3524
"w10161022_mj","tooth","wedding","0",0,2,"JOL","finger","Study1","M","Study Phase",10,"Recall1",3176
"w10168271ae","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",10,"Recall1",4837
"w470603_jgn","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",35,"Recall1",6467
"w738206JEH","wedding","wedding","1",1,2,"JOL","finger","Study1","M","Study Phase",50,"Recall1",3159
"10158411AW","house","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",7300
"10178510lj","soft","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",21,"Recall1",5388
"w10125208_cfe","silk","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",20,"Recall1",4268
"w10132740_fmm","dog","bang","0.25",0,2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",4722
"w10137415_tj","hard","bang","0.25",0,2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",2185
"w10139313_DNM","","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",30,"Recall1",9978
"w10143279D.A","ball","bang","0.5",0,2,"JOL","fuzzy","Study1","U","Study Phase",34,"Recall1",4755
"w10152065_kgp","bang","bang","1",1,2,"JOL","fuzzy","Study1","U","Study Phase",30,"Recall1",4296
"w10152143_ars","cotton","bang","0.166666666666667",0,2,"JOL","fuzzy","Study1","U","Study Phase",10,"Recall1",8837
"w10152190_mm","","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",20,"Recall1",3195
"w10152527_jmt","","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",35,"Recall1",6763
"w10159882_ARS","soft","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",0,"Recall1",5254
"w10160519_vas","hair","bang","0.25",0,2,"JOL","fuzzy","Study1","U","Study Phase",25,"Recall1",4229
"w10161022_mj","hard","bang","0.25",0,2,"JOL","fuzzy","Study1","U","Study Phase",40,"Recall1",1821
"w10168271ae","soft","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",20,"Recall1",3966
"w470603_jgn","soft","bang","0",0,2,"JOL","fuzzy","Study1","U","Study Phase",5,"Recall1",3564
"w738206JEH","face","bang","0.25",0,2,"JOL","fuzzy","Study1","U","Study Phase",5,"Recall1",20772
"10158411AW","steak","steak","1",1,2,"JOL","give","Study1","U","Study Phase",1,"Recall1",5611
"10178510lj","","steak","0",0,2,"JOL","give","Study1","U","Study Phase",12,"Recall1",1156
"w10125208_cfe","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",40,"Recall1",2747
"w10132740_fmm","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",0,"Recall1",3843
"w10137415_tj","","steak","0",0,2,"JOL","give","Study1","U","Study Phase",1,"Recall1",10369
"w10139313_DNM","","steak","0",0,2,"JOL","give","Study1","U","Study Phase",50,"Recall1",10413
"w10143279D.A","","steak","0",0,2,"JOL","give","Study1","U","Study Phase",30,"Recall1",3153
"w10152065_kgp","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",0,"Recall1",2986
"w10152143_ars","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",30,"Recall1",3022
"w10152190_mm","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",20,"Recall1",2090
"w10152527_jmt","","steak","0",0,2,"JOL","give","Study1","U","Study Phase",10,"Recall1",7949
"w10159882_ARS","got","steak","0.2",0,2,"JOL","give","Study1","U","Study Phase",0,"Recall1",7306
"w10160519_vas","steak","steak","1",1,2,"JOL","give","Study1","U","Study Phase",0,"Recall1",3566
"w10161022_mj","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",43,"Recall1",1486
"w10168271ae","hand","steak","0.2",0,2,"JOL","give","Study1","U","Study Phase",10,"Recall1",7548
"w470603_jgn","take","steak","0.8",1,2,"JOL","give","Study1","U","Study Phase",0,"Recall1",3526
"w738206JEH","steak","steak","1",1,2,"JOL","give","Study1","U","Study Phase",50,"Recall1",3983
"10158411AW","","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",10,"Recall1",8431
"10178510lj","","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",23,"Recall1",1875
"w10125208_cfe","head","tooth","0.2",0,2,"JOL","hair","Study1","M","Study Phase",60,"Recall1",3236
"w10132740_fmm","teeth","tooth","0.6",0,2,"JOL","hair","Study1","M","Study Phase",0,"Recall1",4702
"w10137415_tj","tooth","tooth","1",1,2,"JOL","hair","Study1","M","Study Phase",0,"Recall1",2530
"w10139313_DNM","","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",70,"Recall1",3593
"w10143279D.A","scal[","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",4,"Recall1",3916
"w10152065_kgp","long","tooth","0.2",0,2,"JOL","hair","Study1","M","Study Phase",20,"Recall1",3356
"w10152143_ars","brush","tooth","0.2",0,2,"JOL","hair","Study1","M","Study Phase",30,"Recall1",2789
"w10152190_mm","mouth","tooth","0.6",0,2,"JOL","hair","Study1","M","Study Phase",50,"Recall1",3778
"w10152527_jmt","tooth","tooth","1",1,2,"JOL","hair","Study1","M","Study Phase",20,"Recall1",3821
"w10159882_ARS","scalp","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",10,"Recall1",6025
"w10160519_vas","tooth","tooth","1",1,2,"JOL","hair","Study1","M","Study Phase",45,"Recall1",3420
"w10161022_mj","scalp","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",44,"Recall1",2447
"w10168271ae","scalp","tooth","0",0,2,"JOL","hair","Study1","M","Study Phase",30,"Recall1",4116
"w470603_jgn","follicle","tooth","0.125",0,2,"JOL","hair","Study1","M","Study Phase",0,"Recall1",6014
"w738206JEH","tooth","tooth","1",1,2,"JOL","hair","Study1","M","Study Phase",89,"Recall1",8290
"10158411AW","clean","clean","1",1,2,"JOL","hygiene","Study1","F","Study Phase",60,"Recall1",2703
"10178510lj","clean","clean","1",1,2,"JOL","hygiene","Study1","F","Study Phase",35,"Recall1",3501
"w10125208_cfe","clean","clean","1",1,2,"JOL","hygiene","Study1","F","Study Phase",80,"Recall1",2504
"w10132740_fmm","clean","clean","1",1,2,"JOL","hygiene","Study1","F","Study Phase",0,"Recall1",6393
