"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"w10154105DM","base","hard",1,"Read","ball","Study1","M","Study Phase",3182,"Recall1","USM"
"w10157700_CJP","bat","hard",1,"Read","ball","Study1","M","Study Phase",1442,"Recall1","USM"
"w10161018@usm.edu_JRM","","hard",1,"Read","ball","Study1","M","Study Phase",1503,"Recall1","USM"
"w10169795_mls","kick","hard",1,"Read","ball","Study1","M","Study Phase",1162,"Recall1","USM"
"W10173435VPS","round","hard",1,"Read","ball","Study1","M","Study Phase",5089,"Recall1","USM"
"w10175420MM","","hard",1,"Read","ball","Study1","M","Study Phase",714,"Recall1","USM"
"w10175528_CLJ","","hard",1,"Read","ball","Study1","M","Study Phase",301,"Recall1","USM"
"w10183245_ara","throw","hard",1,"Read","ball","Study1","M","Study Phase",798,"Recall1","USM"
"W10192914_JML","","hard",1,"Read","ball","Study1","M","Study Phase",1504,"Recall1","USM"
"W10194212_mpn","bat","hard",1,"Read","ball","Study1","M","Study Phase",1269,"Recall1","USM"
"w547558","hard","hard",1,"Read","ball","Study1","M","Study Phase",1068,"Recall1","USM"
"w10131227_grd","crying ","cry",1,"Read","beer","Study1","M","Study Phase",1029,"Recall1","USM"
"W10140113ED","sip","cry",1,"Read","beer","Study1","M","Study Phase",826,"Recall1","USM"
"w10154105DM","cry","cry",1,"Read","beer","Study1","M","Study Phase",5478,"Recall1","USM"
"w10157700_CJP","cry","cry",1,"Read","beer","Study1","M","Study Phase",1276,"Recall1","USM"
"w10161018@usm.edu_JRM","","cry",1,"Read","beer","Study1","M","Study Phase",1376,"Recall1","USM"
"w10169795_mls","cry","cry",1,"Read","beer","Study1","M","Study Phase",1764,"Recall1","USM"
"W10173435VPS","cry","cry",1,"Read","beer","Study1","M","Study Phase",2697,"Recall1","USM"
"w10175420MM","cry","cry",1,"Read","beer","Study1","M","Study Phase",836,"Recall1","USM"
"w10175528_CLJ","","cry",1,"Read","beer","Study1","M","Study Phase",1085,"Recall1","USM"
"w10183245_ara","","cry",1,"Read","beer","Study1","M","Study Phase",2327,"Recall1","USM"
"W10192914_JML","","cry",1,"Read","beer","Study1","M","Study Phase",1399,"Recall1","USM"
"W10194212_mpn","cry","cry",1,"Read","beer","Study1","M","Study Phase",1690,"Recall1","USM"
"w547558","root","cry",1,"Read","beer","Study1","M","Study Phase",1093,"Recall1","USM"
"w10131227_grd","","day",1,"Read","black","Study1","M","Study Phase",5390,"Recall1","USM"
"W10140113ED","","day",1,"Read","black","Study1","M","Study Phase",528,"Recall1","USM"
"w10154105DM","day","day",1,"Read","black","Study1","M","Study Phase",3798,"Recall1","USM"
"w10157700_CJP","day","day",1,"Read","black","Study1","M","Study Phase",1199,"Recall1","USM"
"w10161018@usm.edu_JRM","","day",1,"Read","black","Study1","M","Study Phase",1449,"Recall1","USM"
"w10169795_mls","day","day",1,"Read","black","Study1","M","Study Phase",1030,"Recall1","USM"
"W10173435VPS","day","day",1,"Read","black","Study1","M","Study Phase",1869,"Recall1","USM"
"w10175420MM","day","day",1,"Read","black","Study1","M","Study Phase",1116,"Recall1","USM"
"w10175528_CLJ","","day",1,"Read","black","Study1","M","Study Phase",427,"Recall1","USM"
"w10183245_ara","white","day",1,"Read","black","Study1","M","Study Phase",1355,"Recall1","USM"
"W10192914_JML","","day",1,"Read","black","Study1","M","Study Phase",2120,"Recall1","USM"
"W10194212_mpn","white","day",1,"Read","black","Study1","M","Study Phase",801,"Recall1","USM"
"w547558","day","day",1,"Read","black","Study1","M","Study Phase",1150,"Recall1","USM"
"w10131227_grd","sweet","hand",1,"Read","cake","Study1","U","Study Phase",673,"Recall1","USM"
"W10140113ED","hand","hand",1,"Read","cake","Study1","U","Study Phase",780,"Recall1","USM"
"w10154105DM","","hand",1,"Read","cake","Study1","U","Study Phase",448,"Recall1","USM"
"w10157700_CJP","party ","hand",1,"Read","cake","Study1","U","Study Phase",1128,"Recall1","USM"
"w10161018@usm.edu_JRM","","hand",1,"Read","cake","Study1","U","Study Phase",1453,"Recall1","USM"
"w10169795_mls","","hand",1,"Read","cake","Study1","U","Study Phase",886,"Recall1","USM"
"W10173435VPS","hand","hand",1,"Read","cake","Study1","U","Study Phase",2543,"Recall1","USM"
"w10175420MM","hand","hand",1,"Read","cake","Study1","U","Study Phase",1261,"Recall1","USM"
"w10175528_CLJ","","hand",1,"Read","cake","Study1","U","Study Phase",487,"Recall1","USM"
"w10183245_ara","","hand",1,"Read","cake","Study1","U","Study Phase",904,"Recall1","USM"
"W10192914_JML","","hand",1,"Read","cake","Study1","U","Study Phase",1282,"Recall1","USM"
"W10194212_mpn","hand","hand",1,"Read","cake","Study1","U","Study Phase",1677,"Recall1","USM"
"w547558","hand","hand",1,"Read","cake","Study1","U","Study Phase",800,"Recall1","USM"
"w10131227_grd","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",1339,"Recall1","USM"
"W10140113ED","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",592,"Recall1","USM"
"w10154105DM","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",6484,"Recall1","USM"
"w10157700_CJP","hair","tooth",1,"Read","comb","Study1","M","Study Phase",2282,"Recall1","USM"
"w10161018@usm.edu_JRM","","tooth",1,"Read","comb","Study1","M","Study Phase",1503,"Recall1","USM"
"w10169795_mls","hair","tooth",1,"Read","comb","Study1","M","Study Phase",778,"Recall1","USM"
"W10173435VPS","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",3244,"Recall1","USM"
"w10175420MM","hair","tooth",1,"Read","comb","Study1","M","Study Phase",871,"Recall1","USM"
"w10175528_CLJ","brush","tooth",1,"Read","comb","Study1","M","Study Phase",641,"Recall1","USM"
"w10183245_ara","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",2669,"Recall1","USM"
"W10192914_JML","hair","tooth",1,"Read","comb","Study1","M","Study Phase",1415,"Recall1","USM"
"W10194212_mpn","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",1533,"Recall1","USM"
"w547558","tooth","tooth",1,"Read","comb","Study1","M","Study Phase",761,"Recall1","USM"
"w10131227_grd","election ","election",1,"Read","crackle","Study1","U","Study Phase",1744,"Recall1","USM"
"W10140113ED","","election",1,"Read","crackle","Study1","U","Study Phase",1128,"Recall1","USM"
"w10154105DM","","election",1,"Read","crackle","Study1","U","Study Phase",4369,"Recall1","USM"
"w10157700_CJP","fire","election",1,"Read","crackle","Study1","U","Study Phase",1132,"Recall1","USM"
"w10161018@usm.edu_JRM","electricity","election",1,"Read","crackle","Study1","U","Study Phase",1303,"Recall1","USM"
"w10169795_mls","election","election",1,"Read","crackle","Study1","U","Study Phase",993,"Recall1","USM"
"W10173435VPS","election","election",1,"Read","crackle","Study1","U","Study Phase",8409,"Recall1","USM"
"w10175420MM","pop","election",1,"Read","crackle","Study1","U","Study Phase",604,"Recall1","USM"
"w10175528_CLJ","","election",1,"Read","crackle","Study1","U","Study Phase",3278,"Recall1","USM"
"w10183245_ara","pop","election",1,"Read","crackle","Study1","U","Study Phase",1227,"Recall1","USM"
"W10192914_JML","president","election",1,"Read","crackle","Study1","U","Study Phase",2404,"Recall1","USM"
"W10194212_mpn","crinkle","election",1,"Read","crackle","Study1","U","Study Phase",2049,"Recall1","USM"
"w547558","election","election",1,"Read","crackle","Study1","U","Study Phase",1010,"Recall1","USM"
"w10131227_grd","bank ","card",1,"Read","credit","Study1","F","Study Phase",3751,"Recall1","USM"
"W10140113ED","card","card",1,"Read","credit","Study1","F","Study Phase",751,"Recall1","USM"
"w10154105DM","card","card",1,"Read","credit","Study1","F","Study Phase",12882,"Recall1","USM"
"w10157700_CJP","card","card",1,"Read","credit","Study1","F","Study Phase",1835,"Recall1","USM"
"w10161018@usm.edu_JRM","card","card",1,"Read","credit","Study1","F","Study Phase",1107,"Recall1","USM"
"w10169795_mls","card","card",1,"Read","credit","Study1","F","Study Phase",1157,"Recall1","USM"
"W10173435VPS","card","card",1,"Read","credit","Study1","F","Study Phase",2737,"Recall1","USM"
"w10175420MM","","card",1,"Read","credit","Study1","F","Study Phase",777,"Recall1","USM"
"w10175528_CLJ","","card",1,"Read","credit","Study1","F","Study Phase",1623,"Recall1","USM"
"w10183245_ara","card","card",1,"Read","credit","Study1","F","Study Phase",1106,"Recall1","USM"
"W10192914_JML","card","card",1,"Read","credit","Study1","F","Study Phase",888,"Recall1","USM"
"W10194212_mpn","card","card",1,"Read","credit","Study1","F","Study Phase",2142,"Recall1","USM"
"w547558","card","card",1,"Read","credit","Study1","F","Study Phase",940,"Recall1","USM"
"w10131227_grd","","lion",1,"Read","flag","Study1","M","Study Phase",1126,"Recall1","USM"
"W10140113ED","lion","lion",1,"Read","flag","Study1","M","Study Phase",965,"Recall1","USM"
"w10154105DM","lion","lion",1,"Read","flag","Study1","M","Study Phase",5273,"Recall1","USM"
"w10157700_CJP","america ","lion",1,"Read","flag","Study1","M","Study Phase",1229,"Recall1","USM"
"w10161018@usm.edu_JRM","","lion",1,"Read","flag","Study1","M","Study Phase",1770,"Recall1","USM"
"w10169795_mls","american","lion",1,"Read","flag","Study1","M","Study Phase",2031,"Recall1","USM"
"W10173435VPS","fog","lion",1,"Read","flag","Study1","M","Study Phase",4278,"Recall1","USM"
"w10175420MM","","lion",1,"Read","flag","Study1","M","Study Phase",1131,"Recall1","USM"
"w10175528_CLJ","","lion",1,"Read","flag","Study1","M","Study Phase",432,"Recall1","USM"
"w10183245_ara","","lion",1,"Read","flag","Study1","M","Study Phase",1747,"Recall1","USM"
"W10192914_JML","","lion",1,"Read","flag","Study1","M","Study Phase",1231,"Recall1","USM"
"W10194212_mpn","lion","lion",1,"Read","flag","Study1","M","Study Phase",1918,"Recall1","USM"
"w547558","pole","lion",1,"Read","flag","Study1","M","Study Phase",1047,"Recall1","USM"
"w10131227_grd","","circle",1,"Read","fun","Study1","M","Study Phase",1078,"Recall1","USM"
"W10140113ED","day","circle",1,"Read","fun","Study1","M","Study Phase",616,"Recall1","USM"
"w10154105DM","","circle",1,"Read","fun","Study1","M","Study Phase",6441,"Recall1","USM"
"w10157700_CJP","happy","circle",1,"Read","fun","Study1","M","Study Phase",1160,"Recall1","USM"
"w10161018@usm.edu_JRM","","circle",1,"Read","fun","Study1","M","Study Phase",1599,"Recall1","USM"
"w10169795_mls","circle","circle",1,"Read","fun","Study1","M","Study Phase",1814,"Recall1","USM"
"W10173435VPS","circle","circle",1,"Read","fun","Study1","M","Study Phase",2967,"Recall1","USM"
"w10175420MM","play","circle",1,"Read","fun","Study1","M","Study Phase",742,"Recall1","USM"
"w10175528_CLJ","","circle",1,"Read","fun","Study1","M","Study Phase",2781,"Recall1","USM"
"w10183245_ara","","circle",1,"Read","fun","Study1","M","Study Phase",1172,"Recall1","USM"
"W10192914_JML","","circle",1,"Read","fun","Study1","M","Study Phase",986,"Recall1","USM"
"W10194212_mpn","name","circle",1,"Read","fun","Study1","M","Study Phase",1593,"Recall1","USM"
"w547558","circle","circle",1,"Read","fun","Study1","M","Study Phase",610,"Recall1","USM"
"w10131227_grd","","bang",1,"Read","fuzzy","Study1","U","Study Phase",2753,"Recall1","USM"
"W10140113ED","bang","bang",1,"Read","fuzzy","Study1","U","Study Phase",989,"Recall1","USM"
"w10154105DM","","bang",1,"Read","fuzzy","Study1","U","Study Phase",4450,"Recall1","USM"
"w10157700_CJP","fur","bang",1,"Read","fuzzy","Study1","U","Study Phase",2109,"Recall1","USM"
"w10161018@usm.edu_JRM","","bang",1,"Read","fuzzy","Study1","U","Study Phase",1314,"Recall1","USM"
"w10169795_mls","bang","bang",1,"Read","fuzzy","Study1","U","Study Phase",831,"Recall1","USM"
"W10173435VPS","shoot","bang",1,"Read","fuzzy","Study1","U","Study Phase",3763,"Recall1","USM"
"w10175420MM","","bang",1,"Read","fuzzy","Study1","U","Study Phase",862,"Recall1","USM"
"w10175528_CLJ","","bang",1,"Read","fuzzy","Study1","U","Study Phase",514,"Recall1","USM"
"w10183245_ara","blanket","bang",1,"Read","fuzzy","Study1","U","Study Phase",2404,"Recall1","USM"
"W10192914_JML","","bang",1,"Read","fuzzy","Study1","U","Study Phase",1777,"Recall1","USM"
"W10194212_mpn","bang","bang",1,"Read","fuzzy","Study1","U","Study Phase",1269,"Recall1","USM"
"w547558","bang","bang",1,"Read","fuzzy","Study1","U","Study Phase",631,"Recall1","USM"
"w10131227_grd","","steak",1,"Read","give","Study1","U","Study Phase",1132,"Recall1","USM"
"W10140113ED","take","steak",1,"Read","give","Study1","U","Study Phase",3620,"Recall1","USM"
"w10154105DM","take","steak",1,"Read","give","Study1","U","Study Phase",9816,"Recall1","USM"
"w10157700_CJP","take","steak",1,"Read","give","Study1","U","Study Phase",1862,"Recall1","USM"
"w10161018@usm.edu_JRM","","steak",1,"Read","give","Study1","U","Study Phase",2032,"Recall1","USM"
"w10169795_mls","take","steak",1,"Read","give","Study1","U","Study Phase",2554,"Recall1","USM"
"W10173435VPS","take","steak",1,"Read","give","Study1","U","Study Phase",1789,"Recall1","USM"
"w10175420MM","","steak",1,"Read","give","Study1","U","Study Phase",1539,"Recall1","USM"
"w10175528_CLJ","","steak",1,"Read","give","Study1","U","Study Phase",473,"Recall1","USM"
"w10183245_ara","recieve","steak",1,"Read","give","Study1","U","Study Phase",2929,"Recall1","USM"
"W10192914_JML","steak","steak",1,"Read","give","Study1","U","Study Phase",3678,"Recall1","USM"
"W10194212_mpn","thaks","steak",1,"Read","give","Study1","U","Study Phase",1798,"Recall1","USM"
"w547558","steak","steak",1,"Read","give","Study1","U","Study Phase",1049,"Recall1","USM"
"w10131227_grd","","wedding",1,"Read","hand","Study1","M","Study Phase",566,"Recall1","USM"
"W10140113ED","hygiene","wedding",1,"Read","hand","Study1","M","Study Phase",925,"Recall1","USM"
"w10154105DM","wedding","wedding",1,"Read","hand","Study1","M","Study Phase",5980,"Recall1","USM"
"w10157700_CJP","wedding ","wedding",1,"Read","hand","Study1","M","Study Phase",1171,"Recall1","USM"
"w10161018@usm.edu_JRM","","wedding",1,"Read","hand","Study1","M","Study Phase",1530,"Recall1","USM"
"w10169795_mls","held","wedding",1,"Read","hand","Study1","M","Study Phase",14797,"Recall1","USM"
"W10173435VPS","cake","wedding",1,"Read","hand","Study1","M","Study Phase",2852,"Recall1","USM"
"w10175420MM","foot","wedding",1,"Read","hand","Study1","M","Study Phase",569,"Recall1","USM"
"w10175528_CLJ","","wedding",1,"Read","hand","Study1","M","Study Phase",1952,"Recall1","USM"
"w10183245_ara","","wedding",1,"Read","hand","Study1","M","Study Phase",1377,"Recall1","USM"
"W10192914_JML","wedding","wedding",1,"Read","hand","Study1","M","Study Phase",1333,"Recall1","USM"
"W10194212_mpn","feet","wedding",1,"Read","hand","Study1","M","Study Phase",1976,"Recall1","USM"
"w547558","wedding","wedding",1,"Read","hand","Study1","M","Study Phase",947,"Recall1","USM"
"w10131227_grd","brush ","clean",1,"Read","hygiene","Study1","F","Study Phase",773,"Recall1","USM"
"W10140113ED","hand","clean",1,"Read","hygiene","Study1","F","Study Phase",1090,"Recall1","USM"
"w10154105DM","hand","clean",1,"Read","hygiene","Study1","F","Study Phase",2203,"Recall1","USM"
"w10157700_CJP","cleen","clean",1,"Read","hygiene","Study1","F","Study Phase",1368,"Recall1","USM"
"w10161018@usm.edu_JRM","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1413,"Recall1","USM"
"w10169795_mls","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",15267,"Recall1","USM"
"W10173435VPS","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",7531,"Recall1","USM"
"w10175420MM","","clean",1,"Read","hygiene","Study1","F","Study Phase",603,"Recall1","USM"
"w10175528_CLJ","","clean",1,"Read","hygiene","Study1","F","Study Phase",1182,"Recall1","USM"
"w10183245_ara","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",949,"Recall1","USM"
"W10192914_JML","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1508,"Recall1","USM"
"W10194212_mpn","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1763,"Recall1","USM"
"w547558","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",615,"Recall1","USM"
"w10131227_grd","","bat",1,"Read","jump","Study1","M","Study Phase",986,"Recall1","USM"
"W10140113ED","","bat",1,"Read","jump","Study1","M","Study Phase",1148,"Recall1","USM"
"w10154105DM","log","bat",1,"Read","jump","Study1","M","Study Phase",2223,"Recall1","USM"
"w10157700_CJP","stree","bat",1,"Read","jump","Study1","M","Study Phase",1282,"Recall1","USM"
"w10161018@usm.edu_JRM","","bat",1,"Read","jump","Study1","M","Study Phase",1526,"Recall1","USM"
"w10169795_mls","","bat",1,"Read","jump","Study1","M","Study Phase",1218,"Recall1","USM"
"W10173435VPS","run","bat",1,"Read","jump","Study1","M","Study Phase",2314,"Recall1","USM"
"w10175420MM","","bat",1,"Read","jump","Study1","M","Study Phase",746,"Recall1","USM"
"w10175528_CLJ","","bat",1,"Read","jump","Study1","M","Study Phase",382,"Recall1","USM"
"w10183245_ara","rope","bat",1,"Read","jump","Study1","M","Study Phase",1645,"Recall1","USM"
"W10192914_JML","bat","bat",1,"Read","jump","Study1","M","Study Phase",1084,"Recall1","USM"
"W10194212_mpn","bat","bat",1,"Read","jump","Study1","M","Study Phase",1167,"Recall1","USM"
"w547558","bat","bat",1,"Read","jump","Study1","M","Study Phase",590,"Recall1","USM"
"w10131227_grd","","rod",1,"Read","keys","Study1","U","Study Phase",898,"Recall1","USM"
"W10140113ED","","rod",1,"Read","keys","Study1","U","Study Phase",566,"Recall1","USM"
"w10154105DM","charm","rod",1,"Read","keys","Study1","U","Study Phase",5127,"Recall1","USM"
"w10157700_CJP","car","rod",1,"Read","keys","Study1","U","Study Phase",1777,"Recall1","USM"
"w10161018@usm.edu_JRM","door","rod",1,"Read","keys","Study1","U","Study Phase",1352,"Recall1","USM"
"w10169795_mls","rod","rod",1,"Read","keys","Study1","U","Study Phase",1064,"Recall1","USM"
"W10173435VPS","meat","rod",1,"Read","keys","Study1","U","Study Phase",3740,"Recall1","USM"
"w10175420MM","","rod",1,"Read","keys","Study1","U","Study Phase",682,"Recall1","USM"
"w10175528_CLJ","","rod",1,"Read","keys","Study1","U","Study Phase",2253,"Recall1","USM"
"w10183245_ara","car","rod",1,"Read","keys","Study1","U","Study Phase",1043,"Recall1","USM"
"W10192914_JML","","rod",1,"Read","keys","Study1","U","Study Phase",1595,"Recall1","USM"
"W10194212_mpn","meat","rod",1,"Read","keys","Study1","U","Study Phase",1496,"Recall1","USM"
"w547558","rod","rod",1,"Read","keys","Study1","U","Study Phase",941,"Recall1","USM"
"w10131227_grd","","fiction",1,"Read","listen","Study1","U","Study Phase",856,"Recall1","USM"
"W10140113ED","hear","fiction",1,"Read","listen","Study1","U","Study Phase",596,"Recall1","USM"
"w10154105DM","","fiction",1,"Read","listen","Study1","U","Study Phase",2217,"Recall1","USM"
"w10157700_CJP","sound","fiction",1,"Read","listen","Study1","U","Study Phase",1997,"Recall1","USM"
"w10161018@usm.edu_JRM","","fiction",1,"Read","listen","Study1","U","Study Phase",1400,"Recall1","USM"
"w10169795_mls","fiction","fiction",1,"Read","listen","Study1","U","Study Phase",960,"Recall1","USM"
"W10173435VPS","hear","fiction",1,"Read","listen","Study1","U","Study Phase",2026,"Recall1","USM"
"w10175420MM","","fiction",1,"Read","listen","Study1","U","Study Phase",1934,"Recall1","USM"
"w10175528_CLJ","","fiction",1,"Read","listen","Study1","U","Study Phase",1231,"Recall1","USM"
"w10183245_ara","","fiction",1,"Read","listen","Study1","U","Study Phase",1035,"Recall1","USM"
"W10192914_JML","ear","fiction",1,"Read","listen","Study1","U","Study Phase",1344,"Recall1","USM"
"W10194212_mpn","loud","fiction",1,"Read","listen","Study1","U","Study Phase",488,"Recall1","USM"
"w547558","trash","fiction",1,"Read","listen","Study1","U","Study Phase",690,"Recall1","USM"
"w10131227_grd","harm","trash",1,"Read","litter","Study1","F","Study Phase",4075,"Recall1","USM"
"W10140113ED","","trash",1,"Read","litter","Study1","F","Study Phase",772,"Recall1","USM"
"w10154105DM","","trash",1,"Read","litter","Study1","F","Study Phase",1109,"Recall1","USM"
"w10157700_CJP","cat","trash",1,"Read","litter","Study1","F","Study Phase",979,"Recall1","USM"
"w10161018@usm.edu_JRM","","trash",1,"Read","litter","Study1","F","Study Phase",1835,"Recall1","USM"
"w10169795_mls","trash","trash",1,"Read","litter","Study1","F","Study Phase",1075,"Recall1","USM"
"W10173435VPS","bad","trash",1,"Read","litter","Study1","F","Study Phase",1566,"Recall1","USM"
"w10175420MM","trash","trash",1,"Read","litter","Study1","F","Study Phase",950,"Recall1","USM"
"w10175528_CLJ","box","trash",1,"Read","litter","Study1","F","Study Phase",1419,"Recall1","USM"
"w10183245_ara","trash","trash",1,"Read","litter","Study1","F","Study Phase",1756,"Recall1","USM"
"W10192914_JML","cat","trash",1,"Read","litter","Study1","F","Study Phase",999,"Recall1","USM"
"W10194212_mpn","trash","trash",1,"Read","litter","Study1","F","Study Phase",1038,"Recall1","USM"
"w547558","trash","trash",1,"Read","litter","Study1","F","Study Phase",700,"Recall1","USM"
"w10131227_grd","","war",1,"Read","loud","Study1","M","Study Phase",1213,"Recall1","USM"
"W10140113ED","war","war",1,"Read","loud","Study1","M","Study Phase",1012,"Recall1","USM"
"w10154105DM","","war",1,"Read","loud","Study1","M","Study Phase",3682,"Recall1","USM"
"w10157700_CJP","noise ","war",1,"Read","loud","Study1","M","Study Phase",1532,"Recall1","USM"
"w10161018@usm.edu_JRM","","war",1,"Read","loud","Study1","M","Study Phase",1100,"Recall1","USM"
"w10169795_mls","noise","war",1,"Read","loud","Study1","M","Study Phase",1467,"Recall1","USM"
"W10173435VPS","hear","war",1,"Read","loud","Study1","M","Study Phase",1732,"Recall1","USM"
"w10175420MM","silent","war",1,"Read","loud","Study1","M","Study Phase",905,"Recall1","USM"
"w10175528_CLJ","","war",1,"Read","loud","Study1","M","Study Phase",1782,"Recall1","USM"
"w10183245_ara","noise","war",1,"Read","loud","Study1","M","Study Phase",1617,"Recall1","USM"
"W10192914_JML","","war",1,"Read","loud","Study1","M","Study Phase",1428,"Recall1","USM"
"W10194212_mpn","war","war",1,"Read","loud","Study1","M","Study Phase",2248,"Recall1","USM"
"w547558","noise","war",1,"Read","loud","Study1","M","Study Phase",1008,"Recall1","USM"
"w10131227_grd","lost","phone",1,"Read","maze","Study1","U","Study Phase",10985,"Recall1","USM"
"W10140113ED","","phone",1,"Read","maze","Study1","U","Study Phase",772,"Recall1","USM"
"w10154105DM","phone","phone",1,"Read","maze","Study1","U","Study Phase",8878,"Recall1","USM"
"w10157700_CJP","phone","phone",1,"Read","maze","Study1","U","Study Phase",1706,"Recall1","USM"
"w10161018@usm.edu_JRM","runner","phone",1,"Read","maze","Study1","U","Study Phase",1290,"Recall1","USM"
"w10169795_mls","phone","phone",1,"Read","maze","Study1","U","Study Phase",1158,"Recall1","USM"
"W10173435VPS","phone","phone",1,"Read","maze","Study1","U","Study Phase",3974,"Recall1","USM"
"w10175420MM","","phone",1,"Read","maze","Study1","U","Study Phase",607,"Recall1","USM"
"w10175528_CLJ","corn","phone",1,"Read","maze","Study1","U","Study Phase",438,"Recall1","USM"
"w10183245_ara","phone","phone",1,"Read","maze","Study1","U","Study Phase",1443,"Recall1","USM"
"W10192914_JML","phone","phone",1,"Read","maze","Study1","U","Study Phase",1446,"Recall1","USM"
"W10194212_mpn","run","phone",1,"Read","maze","Study1","U","Study Phase",2535,"Recall1","USM"
"w547558","phone","phone",1,"Read","maze","Study1","U","Study Phase",749,"Recall1","USM"
"w10131227_grd","","keys",1,"Read","meat","Study1","U","Study Phase",3681,"Recall1","USM"
"W10140113ED","","keys",1,"Read","meat","Study1","U","Study Phase",984,"Recall1","USM"
"w10154105DM","","keys",1,"Read","meat","Study1","U","Study Phase",5417,"Recall1","USM"
"w10157700_CJP","grill","keys",1,"Read","meat","Study1","U","Study Phase",1736,"Recall1","USM"
"w10161018@usm.edu_JRM","steak","keys",1,"Read","meat","Study1","U","Study Phase",1652,"Recall1","USM"
"w10169795_mls","grinder","keys",1,"Read","meat","Study1","U","Study Phase",826,"Recall1","USM"
"W10173435VPS","keys","keys",1,"Read","meat","Study1","U","Study Phase",1415,"Recall1","USM"
"w10175420MM","","keys",1,"Read","meat","Study1","U","Study Phase",535,"Recall1","USM"
"w10175528_CLJ","","keys",1,"Read","meat","Study1","U","Study Phase",361,"Recall1","USM"
"w10183245_ara","ball","keys",1,"Read","meat","Study1","U","Study Phase",1719,"Recall1","USM"
"W10192914_JML","","keys",1,"Read","meat","Study1","U","Study Phase",1166,"Recall1","USM"
