"Username","Stimuli.Cue","Stimuli.Answer","Stimuli.Stimuli.Notes","Response.JOL"
"5bf36d4ca70bf700017ca293","VALLEY","PEAK","M",56
"5bf36d4ca70bf700017ca293","ATTIRE","CLOTHES","F",83
"5bf36d4ca70bf700017ca293","LITTER","TRASH","F",85
"5bf36d4ca70bf700017ca293","SHELL","SHAKE","U",9
"5bf36d4ca70bf700017ca293","ROOT","PLANT","F",69
"5bf36d4ca70bf700017ca293","CIRCLE","DANCE","M",6
"5bf36d4ca70bf700017ca293","TREE","SYRUP","M",6
"5bf36d4ca70bf700017ca293","ARTERY","BRONZE","U",0
"5bf36d4ca70bf700017ca293","VEHICLE","CHARM","U",1
"5bf36d4ca70bf700017ca293","ROUGH","SILK","M",1
"5bf36d4ca70bf700017ca293","BENCH","HORN","U",0
"5bf36d4ca70bf700017ca293","HAPPY","CAR","U",12
"5bf36d4ca70bf700017ca293","CRACKLE","ELECTION","U",2
"5bf36d4ca70bf700017ca293","CRY","BOTTLE","M",6
"5bf36d4ca70bf700017ca293","BLAZE","FIRE","F",83
"5bf36d4ca70bf700017ca293","HEAVY","FEATHER","M",3
"5bf36d4ca70bf700017ca293","AFFECTION","LOVE","F",84
"5bf36d4ca70bf700017ca293","MIRROR","MAROON","U",1
"5bf36d4ca70bf700017ca293","CEILING","CARPET","M",42
"5bf36d4ca70bf700017ca293","KING","VASE","U",1
"5bf36d4ca70bf700017ca293","HORSE","WHEEL","M",37
"5bf36d4ca70bf700017ca293","WEDDING","FINGER","M",5
"5bf36d4ca70bf700017ca293","SWAN","BIRD","F",57
"5bf36d4ca70bf700017ca293","CREDIT","CARD","F",94
"5bf36d4ca70bf700017ca293","CACTUS","PLANT","F",81
"5bf36d4ca70bf700017ca293","LEAGUE","BASEBALL","F",75
"5bf36d4ca70bf700017ca293","INCENSE","SMELL","F",79
"5bf36d4ca70bf700017ca293","PANTS","COLLAR","M",12
"5bf36d4ca70bf700017ca293","STRETCH","CLOTH","U",41
"5bf36d4ca70bf700017ca293","DOCUMENT","PAPER","F",73
"5d4b085ef76ba3001c7510de","CHERRY","RED","F",60
"5d4b085ef76ba3001c7510de","SWAN","BIRD","F",95
"5d4b085ef76ba3001c7510de","ART","WOLF","U",0
"5d4b085ef76ba3001c7510de","KEYS","ROD","U",0
"5d4b085ef76ba3001c7510de","DOCUMENT","PAPER","F",80
"5d4b085ef76ba3001c7510de","LION","STRIPES","M",20
"5d4b085ef76ba3001c7510de","DEATH","BUSINESS","U",0
"5d4b085ef76ba3001c7510de","HORNET","STING","F",70
"5d4b085ef76ba3001c7510de","SIGN","TICK","U",1
"5d4b085ef76ba3001c7510de","CACTUS","PLANT","F",90
"5d4b085ef76ba3001c7510de","BLAZE","FIRE","F",85
"5d4b085ef76ba3001c7510de","WEDDING","FINGER","M",1
"5d4b085ef76ba3001c7510de","FEUD","FIGHT","F",95
"5d4b085ef76ba3001c7510de","STRONG","ACCIDENT","U",0
"5d4b085ef76ba3001c7510de","BIRTHDAY","PIE","M",0
"5d4b085ef76ba3001c7510de","CAKE","HAND","U",0
"5d4b085ef76ba3001c7510de","SIP","DRINK","F",90
"5d4b085ef76ba3001c7510de","KING","VASE","U",0
"5d4b085ef76ba3001c7510de","SCALP","HEAD","F",75
"5d4b085ef76ba3001c7510de","MULE","DONKEY","F",65
"5d4b085ef76ba3001c7510de","AFFECTION","LOVE","F",70
"5d4b085ef76ba3001c7510de","CREDIT","CARD","F",90
"5d4b085ef76ba3001c7510de","SUGAR","RIDDLE","U",0
"5d4b085ef76ba3001c7510de","PILL","BOTTLE","F",60
"5d4b085ef76ba3001c7510de","FUZZY","BANG","U",0
"5d4b085ef76ba3001c7510de","TUNA","FISH","F",95
"5d4b085ef76ba3001c7510de","LISTEN","FICTION","U",0
"5d4b085ef76ba3001c7510de","TEMPERATURE","MORNING","U",1
"5d4b085ef76ba3001c7510de","ROUGH","SILK","M",0
"5d4b085ef76ba3001c7510de","CHILL","COLD","F",95
"5d4b085ef76ba3001c7510de","CHISEL","HAMMER","F",85
"5d4b085ef76ba3001c7510de","CASH","STUDY","U",0
"5d4b085ef76ba3001c7510de","SICK","HIDE","U",0
"5d4b085ef76ba3001c7510de","NAP","SLEEP","F",95
"5d4b085ef76ba3001c7510de","BAT","BOUNCE","M",0
"5d4b085ef76ba3001c7510de","RAKE","SEED","M",2
"5d4b085ef76ba3001c7510de","WAGE","MONEY","F",86
"5d4b085ef76ba3001c7510de","DAY","DARK","M",1
"5d4b085ef76ba3001c7510de","MEAT","KEYS","U",0
"5d4b085ef76ba3001c7510de","CIRCLE","DANCE","M",1
"5d4b085ef76ba3001c7510de","VALLEY","PEAK","M",90
"5d4b085ef76ba3001c7510de","TREE","SYRUP","M",5
"5d4b085ef76ba3001c7510de","NURSE","LAWYER","M",1
"5d4b085ef76ba3001c7510de","STRETCH","CLOTH","U",1
"5d4b085ef76ba3001c7510de","SHELL","SHAKE","U",0
"5d4b085ef76ba3001c7510de","SCHOOL","STOP","M",1
"5d4b085ef76ba3001c7510de","BEACH","BOX","M",0
"5d4b085ef76ba3001c7510de","ATTIRE","CLOTHES","F",80
"5d4b085ef76ba3001c7510de","EYES","SMELL","M",0
"5d4b085ef76ba3001c7510de","DIETARY","SACK","U",0
"5d4b085ef76ba3001c7510de","TRAP","CAVE","M",0
"5d4b085ef76ba3001c7510de","OVEN","BASKET","M",1
"5d4b085ef76ba3001c7510de","ARTERY","BRONZE","U",0
"5d4b085ef76ba3001c7510de","CHOP","CUT","F",75
"5d4b085ef76ba3001c7510de","HYGIENE","CLEAN","F",50
"5d4b085ef76ba3001c7510de","PANTS","COLLAR","M",1
"5d4b085ef76ba3001c7510de","HEAVY","FEATHER","M",2
"5d4b085ef76ba3001c7510de","SOON","BELT","U",0
"5d4b085ef76ba3001c7510de","PUSH","CLUTTER","U",0
"5d4b085ef76ba3001c7510de","WAR","QUIET","M",0
"5d4b085ef76ba3001c7510de","WORD","SENTENCE","F",45
"5d4b085ef76ba3001c7510de","VEHICLE","CHARM","U",0
"5d4b085ef76ba3001c7510de","HORSE","WHEEL","M",2
"5d4b085ef76ba3001c7510de","RAZOR","MUSCLE","M",0
"5d4b085ef76ba3001c7510de","CRACKLE","ELECTION","U",0
"5d4b085ef76ba3001c7510de","BOTH","OUNCE","U",0
"5d4b085ef76ba3001c7510de","LITTER","TRASH","F",70
"5d4b085ef76ba3001c7510de","CRY","BOTTLE","M",5
"5d4b085ef76ba3001c7510de","GIVE","STEAK","U",0
"5d4b085ef76ba3001c7510de","CEILING","CARPET","M",2
"5d4b085ef76ba3001c7510de","WASP","BUG","F",20
"5d4b085ef76ba3001c7510de","LEAGUE","BASEBALL","F",40
"5d4b085ef76ba3001c7510de","HAPPY","CAR","U",0
"5d4b085ef76ba3001c7510de","WINDOW","KNOB","M",0
"5d4b085ef76ba3001c7510de","TOOTH","HAIR","M",0
"5d4b085ef76ba3001c7510de","SOAP","DRINK","M",0
"5d4b085ef76ba3001c7510de","MIRROR","MAROON","U",0
"5d4b085ef76ba3001c7510de","GRILL","THIGH","M",5
"5d4b085ef76ba3001c7510de","REALITY","ISLAND","M",1
"5d4b085ef76ba3001c7510de","ROOT","PLANT","F",95
"5d4b085ef76ba3001c7510de","BRIDGE","WATER","F",95
