"id","Encoding_Group","Block","Direction","Response.RT","Scored","experiment"
"M20278923!AJP","JOL","Study1","F",3267,100,"Ex2B"
"M20287742_NT","JOL","Study1","F",3253,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",3452,100,"Ex2B"
"M20302936IB","JOL","Study1","F",8177,100,"Ex2B"
"M20316781_bmd","JOL","Study1","F",4711,100,"Ex2B"
"M20317842","JOL","Study1","F",3539,0,"Ex2B"
"M20330209_AS","JOL","Study1","F",4305,100,"Ex2B"
"M20333917ER","JOL","Study1","F",2714,0,"Ex2B"
"M20334575","JOL","Study1","F",4547,0,"Ex2B"
"M20334855_nic","JOL","Study1","F",6415,100,"Ex2B"
"M20339554_set","JOL","Study1","F",9968,100,"Ex2B"
"M20339918","JOL","Study1","F",5024,100,"Ex2B"
"M20340839DE","JOL","Study1","F",4573,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",4226,100,"Ex2B"
"M20342004_AO","JOL","Study1","F",3257,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",5834,100,"Ex2B"
"M20353264_sml","JOL","Study1","F",3507,100,"Ex2B"
"20343281EA","JOL","Study1","U",11388,100,"Ex2B"
"20346666jts","JOL","Study1","U",2608,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",8502,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",2923,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",2991,0,"Ex2B"
"M20302936IB","JOL","Study1","U",4358,0,"Ex2B"
"M20316781_bmd","JOL","Study1","U",5821,0,"Ex2B"
"M20317842","JOL","Study1","U",2438,0,"Ex2B"
"M20330209_AS","JOL","Study1","U",4093,100,"Ex2B"
"M20333917ER","JOL","Study1","U",4068,0,"Ex2B"
"M20334575","JOL","Study1","U",12598,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",6150,0,"Ex2B"
"M20339554_set","JOL","Study1","U",7615,0,"Ex2B"
"M20339918","JOL","Study1","U",22596,100,"Ex2B"
"M20340839DE","JOL","Study1","U",4232,0,"Ex2B"
"M20341291_ymb","JOL","Study1","U",4529,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",4124,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",5430,0,"Ex2B"
"M20353264_sml","JOL","Study1","U",3966,0,"Ex2B"
"20343281EA","JOL","Study1","F",12296,100,"Ex2B"
"20346666jts","JOL","Study1","F",4146,0,"Ex2B"
"M20278923!AJP","JOL","Study1","F",2313,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",5413,100,"Ex2B"
"M20302746LAA","JOL","Study1","F",2083,0,"Ex2B"
"M20302936IB","JOL","Study1","F",8928,0,"Ex2B"
"M20316781_bmd","JOL","Study1","F",5827,100,"Ex2B"
"M20317842","JOL","Study1","F",4743,100,"Ex2B"
"M20330209_AS","JOL","Study1","F",10915,100,"Ex2B"
"M20333917ER","JOL","Study1","F",3215,0,"Ex2B"
"M20334575","JOL","Study1","F",27531,0,"Ex2B"
"M20334855_nic","JOL","Study1","F",3935,100,"Ex2B"
"M20339554_set","JOL","Study1","F",3586,0,"Ex2B"
"M20339918","JOL","Study1","F",6556,0,"Ex2B"
"M20340839DE","JOL","Study1","F",3756,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",4081,0,"Ex2B"
"M20342004_AO","JOL","Study1","F",2231,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",4247,0,"Ex2B"
"M20353264_sml","JOL","Study1","F",2977,100,"Ex2B"
"20343281EA","JOL","Study1","U",12317,100,"Ex2B"
"20346666jts","JOL","Study1","U",2046,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",3321,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",4102,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",3372,0,"Ex2B"
"M20302936IB","JOL","Study1","U",5407,100,"Ex2B"
"M20316781_bmd","JOL","Study1","U",5570,100,"Ex2B"
"M20317842","JOL","Study1","U",5736,100,"Ex2B"
"M20330209_AS","JOL","Study1","U",2475,100,"Ex2B"
"M20333917ER","JOL","Study1","U",2905,100,"Ex2B"
"M20334575","JOL","Study1","U",7897,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",7208,100,"Ex2B"
"M20339554_set","JOL","Study1","U",6364,100,"Ex2B"
"M20339918","JOL","Study1","U",5741,0,"Ex2B"
"M20340839DE","JOL","Study1","U",5056,100,"Ex2B"
"M20341291_ymb","JOL","Study1","U",19703,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",2264,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",5604,100,"Ex2B"
"M20353264_sml","JOL","Study1","U",2635,100,"Ex2B"
"20343281EA","JOL","Study1","M",6678,100,"Ex2B"
"20346666jts","JOL","Study1","M",3342,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",4663,100,"Ex2B"
"M20287742_NT","JOL","Study1","M",3232,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",1960,0,"Ex2B"
"M20302936IB","JOL","Study1","M",7288,100,"Ex2B"
"M20316781_bmd","JOL","Study1","M",6244,0,"Ex2B"
"M20317842","JOL","Study1","M",3343,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",4143,100,"Ex2B"
"M20333917ER","JOL","Study1","M",2613,0,"Ex2B"
"M20334575","JOL","Study1","M",10758,100,"Ex2B"
"M20334855_nic","JOL","Study1","M",5112,0,"Ex2B"
"M20339554_set","JOL","Study1","M",3448,100,"Ex2B"
"M20339918","JOL","Study1","M",3571,0,"Ex2B"
"M20340839DE","JOL","Study1","M",4876,0,"Ex2B"
"M20341291_ymb","JOL","Study1","M",79225,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",2802,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",15649,100,"Ex2B"
"M20353264_sml","JOL","Study1","M",4164,100,"Ex2B"
"20343281EA","JOL","Study1","F",7133,100,"Ex2B"
"20343281EA","JOL","Study1","F",7485,100,"Ex2B"
"20346666jts","JOL","Study1","F",3988,100,"Ex2B"
"20346666jts","JOL","Study1","F",4325,100,"Ex2B"
"M20278923!AJP","JOL","Study1","F",1842,100,"Ex2B"
"M20278923!AJP","JOL","Study1","F",2012,100,"Ex2B"
"M20287742_NT","JOL","Study1","F",3044,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",3040,100,"Ex2B"
"M20302746LAA","JOL","Study1","F",5435,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",3064,0,"Ex2B"
"M20302936IB","JOL","Study1","F",9639,100,"Ex2B"
"M20302936IB","JOL","Study1","F",190433,100,"Ex2B"
"M20316781_bmd","JOL","Study1","F",5954,100,"Ex2B"
"M20316781_bmd","JOL","Study1","F",8291,100,"Ex2B"
"M20317842","JOL","Study1","F",3201,100,"Ex2B"
"M20317842","JOL","Study1","F",8887,100,"Ex2B"
"M20330209_AS","JOL","Study1","F",2752,100,"Ex2B"
"M20330209_AS","JOL","Study1","F",3657,100,"Ex2B"
"M20333917ER","JOL","Study1","F",4905,100,"Ex2B"
"M20333917ER","JOL","Study1","F",3249,100,"Ex2B"
"M20334575","JOL","Study1","F",6134,100,"Ex2B"
"M20334575","JOL","Study1","F",10054,100,"Ex2B"
"M20334855_nic","JOL","Study1","F",12205,100,"Ex2B"
"M20334855_nic","JOL","Study1","F",9636,100,"Ex2B"
"M20339554_set","JOL","Study1","F",2351,100,"Ex2B"
"M20339554_set","JOL","Study1","F",5715,100,"Ex2B"
"M20339918","JOL","Study1","F",7464,100,"Ex2B"
"M20339918","JOL","Study1","F",6929,100,"Ex2B"
"M20340839DE","JOL","Study1","F",4381,100,"Ex2B"
"M20340839DE","JOL","Study1","F",9247,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",5363,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",4770,100,"Ex2B"
"M20342004_AO","JOL","Study1","F",2068,0,"Ex2B"
"M20342004_AO","JOL","Study1","F",2275,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",3657,100,"Ex2B"
"M20343663_rro","JOL","Study1","F",3056,100,"Ex2B"
"M20353264_sml","JOL","Study1","F",2637,100,"Ex2B"
"M20353264_sml","JOL","Study1","F",1976,100,"Ex2B"
"20343281EA","JOL","Study1","F",4126,100,"Ex2B"
"20346666jts","JOL","Study1","F",2747,100,"Ex2B"
"M20278923!AJP","JOL","Study1","F",3276,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",3772,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",2452,100,"Ex2B"
"M20302936IB","JOL","Study1","F",16316,0,"Ex2B"
"M20316781_bmd","JOL","Study1","F",7206,100,"Ex2B"
"M20317842","JOL","Study1","F",3231,0,"Ex2B"
"M20330209_AS","JOL","Study1","F",2525,100,"Ex2B"
"M20333917ER","JOL","Study1","F",3264,100,"Ex2B"
"M20334575","JOL","Study1","F",6021,0,"Ex2B"
"M20334855_nic","JOL","Study1","F",9160,100,"Ex2B"
"M20339554_set","JOL","Study1","F",3208,0,"Ex2B"
"M20339918","JOL","Study1","F",3852,0,"Ex2B"
"M20340839DE","JOL","Study1","F",3279,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",4219,0,"Ex2B"
"M20342004_AO","JOL","Study1","F",3107,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",3940,0,"Ex2B"
"M20353264_sml","JOL","Study1","F",2961,100,"Ex2B"
"20343281EA","JOL","Study1","U",6266,100,"Ex2B"
"20346666jts","JOL","Study1","U",2750,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",6270,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",2972,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",2554,0,"Ex2B"
"M20302936IB","JOL","Study1","U",4695,0,"Ex2B"
"M20316781_bmd","JOL","Study1","U",5715,100,"Ex2B"
"M20317842","JOL","Study1","U",6437,0,"Ex2B"
"M20330209_AS","JOL","Study1","U",4507,0,"Ex2B"
"M20333917ER","JOL","Study1","U",4600,0,"Ex2B"
"M20334575","JOL","Study1","U",8474,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",5513,0,"Ex2B"
"M20339554_set","JOL","Study1","U",6908,0,"Ex2B"
"M20339918","JOL","Study1","U",5538,0,"Ex2B"
"M20340839DE","JOL","Study1","U",8060,100,"Ex2B"
"M20341291_ymb","JOL","Study1","U",5526,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",3167,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",6969,0,"Ex2B"
"M20353264_sml","JOL","Study1","U",3776,0,"Ex2B"
"20343281EA","JOL","Study1","U",4796,100,"Ex2B"
"20346666jts","JOL","Study1","U",4103,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",4228,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",2850,0,"Ex2B"
"M20302746LAA","JOL","Study1","U",4118,0,"Ex2B"
"M20302936IB","JOL","Study1","U",6635,100,"Ex2B"
"M20316781_bmd","JOL","Study1","U",7400,0,"Ex2B"
"M20317842","JOL","Study1","U",19598,100,"Ex2B"
"M20330209_AS","JOL","Study1","U",4370,100,"Ex2B"
"M20333917ER","JOL","Study1","U",4229,0,"Ex2B"
"M20334575","JOL","Study1","U",58212,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",9831,0,"Ex2B"
"M20339554_set","JOL","Study1","U",24553,0,"Ex2B"
"M20339918","JOL","Study1","U",8447,100,"Ex2B"
"M20340839DE","JOL","Study1","U",6628,100,"Ex2B"
"M20341291_ymb","JOL","Study1","U",4049,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",4643,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",5462,100,"Ex2B"
"M20353264_sml","JOL","Study1","U",9013,0,"Ex2B"
"20343281EA","JOL","Study1","F",5334,0,"Ex2B"
"20346666jts","JOL","Study1","F",5219,100,"Ex2B"
"M20278923!AJP","JOL","Study1","F",2720,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",9105,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",2963,0,"Ex2B"
"M20302936IB","JOL","Study1","F",3983,0,"Ex2B"
"M20316781_bmd","JOL","Study1","F",9265,100,"Ex2B"
"M20317842","JOL","Study1","F",4817,0,"Ex2B"
"M20330209_AS","JOL","Study1","F",2652,100,"Ex2B"
"M20333917ER","JOL","Study1","F",3852,0,"Ex2B"
"M20334575","JOL","Study1","F",3962,0,"Ex2B"
"M20334855_nic","JOL","Study1","F",6992,0,"Ex2B"
"M20339554_set","JOL","Study1","F",2443,100,"Ex2B"
"M20339918","JOL","Study1","F",3739,0,"Ex2B"
"M20340839DE","JOL","Study1","F",3858,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",4721,0,"Ex2B"
"M20342004_AO","JOL","Study1","F",2167,100,"Ex2B"
"M20343663_rro","JOL","Study1","F",6021,0,"Ex2B"
"M20353264_sml","JOL","Study1","F",2264,100,"Ex2B"
"20343281EA","JOL","Study1","M",6447,0,"Ex2B"
"20346666jts","JOL","Study1","M",2753,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",3848,0,"Ex2B"
"M20287742_NT","JOL","Study1","M",2549,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",1677,0,"Ex2B"
"M20302936IB","JOL","Study1","M",3409,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",7813,0,"Ex2B"
"M20317842","JOL","Study1","M",4380,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",4866,100,"Ex2B"
"M20333917ER","JOL","Study1","M",4822,0,"Ex2B"
"M20334575","JOL","Study1","M",5709,0,"Ex2B"
"M20334855_nic","JOL","Study1","M",14389,0,"Ex2B"
"M20339554_set","JOL","Study1","M",5510,0,"Ex2B"
"M20339918","JOL","Study1","M",5349,0,"Ex2B"
"M20340839DE","JOL","Study1","M",2754,0,"Ex2B"
"M20341291_ymb","JOL","Study1","M",4746,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",2140,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",7681,0,"Ex2B"
"M20353264_sml","JOL","Study1","M",3344,0,"Ex2B"
"20343281EA","JOL","Study1","F",9756,100,"Ex2B"
"20346666jts","JOL","Study1","F",4193,100,"Ex2B"
"M20278923!AJP","JOL","Study1","F",10605,100,"Ex2B"
"M20287742_NT","JOL","Study1","F",3713,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",4969,100,"Ex2B"
"M20302936IB","JOL","Study1","F",8960,100,"Ex2B"
"M20316781_bmd","JOL","Study1","F",3857,0,"Ex2B"
"M20317842","JOL","Study1","F",2315,0,"Ex2B"
"M20330209_AS","JOL","Study1","F",3321,100,"Ex2B"
"M20333917ER","JOL","Study1","F",3217,0,"Ex2B"
"M20334575","JOL","Study1","F",18362,0,"Ex2B"
"M20334855_nic","JOL","Study1","F",5569,0,"Ex2B"
"M20339554_set","JOL","Study1","F",8009,100,"Ex2B"
"M20339918","JOL","Study1","F",10369,0,"Ex2B"
"M20340839DE","JOL","Study1","F",4593,100,"Ex2B"
"M20341291_ymb","JOL","Study1","F",6056,100,"Ex2B"
"M20342004_AO","JOL","Study1","F",11265,0,"Ex2B"
"M20343663_rro","JOL","Study1","F",4104,100,"Ex2B"
"M20353264_sml","JOL","Study1","F",3545,0,"Ex2B"
"20343281EA","JOL","Study1","M",11712,100,"Ex2B"
"20346666jts","JOL","Study1","M",1517,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",3898,0,"Ex2B"
"M20287742_NT","JOL","Study1","M",2974,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",3105,0,"Ex2B"
"M20302936IB","JOL","Study1","M",7345,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",4135,0,"Ex2B"
"M20317842","JOL","Study1","M",3099,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",3271,100,"Ex2B"
"M20333917ER","JOL","Study1","M",6073,0,"Ex2B"
"M20334575","JOL","Study1","M",3268,0,"Ex2B"
"M20334855_nic","JOL","Study1","M",6201,0,"Ex2B"
"M20339554_set","JOL","Study1","M",5257,0,"Ex2B"
"M20339918","JOL","Study1","M",9522,100,"Ex2B"
"M20340839DE","JOL","Study1","M",7720,100,"Ex2B"
"M20341291_ymb","JOL","Study1","M",9208,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",2279,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",3881,0,"Ex2B"
"M20353264_sml","JOL","Study1","M",4442,100,"Ex2B"
"20343281EA","JOL","Study1","M",9116,100,"Ex2B"
"20343281EA","JOL","Study1","U",7929,0,"Ex2B"
"20346666jts","JOL","Study1","M",4094,0,"Ex2B"
"20346666jts","JOL","Study1","U",4494,0,"Ex2B"
"M20278923!AJP","JOL","Study1","U",5807,0,"Ex2B"
"M20278923!AJP","JOL","Study1","M",4473,0,"Ex2B"
"M20287742_NT","JOL","Study1","U",5865,0,"Ex2B"
"M20287742_NT","JOL","Study1","M",4709,100,"Ex2B"
"M20302746LAA","JOL","Study1","U",2474,0,"Ex2B"
"M20302746LAA","JOL","Study1","M",6471,0,"Ex2B"
"M20302936IB","JOL","Study1","M",8403,100,"Ex2B"
"M20302936IB","JOL","Study1","U",5348,0,"Ex2B"
"M20316781_bmd","JOL","Study1","M",3139,0,"Ex2B"
"M20316781_bmd","JOL","Study1","U",3608,0,"Ex2B"
"M20317842","JOL","Study1","M",2703,0,"Ex2B"
"M20317842","JOL","Study1","U",2073,100,"Ex2B"
"M20330209_AS","JOL","Study1","U",5118,0,"Ex2B"
"M20330209_AS","JOL","Study1","M",4607,0,"Ex2B"
"M20333917ER","JOL","Study1","U",3541,0,"Ex2B"
"M20333917ER","JOL","Study1","M",4433,0,"Ex2B"
"M20334575","JOL","Study1","U",9108,100,"Ex2B"
"M20334575","JOL","Study1","M",4393,0,"Ex2B"
"M20334855_nic","JOL","Study1","U",4697,0,"Ex2B"
"M20334855_nic","JOL","Study1","M",4780,0,"Ex2B"
"M20339554_set","JOL","Study1","M",8206,0,"Ex2B"
"M20339554_set","JOL","Study1","U",7346,0,"Ex2B"
"M20339918","JOL","Study1","M",21850,0,"Ex2B"
"M20339918","JOL","Study1","U",3817,0,"Ex2B"
"M20340839DE","JOL","Study1","M",4475,0,"Ex2B"
"M20340839DE","JOL","Study1","U",5529,0,"Ex2B"
"M20341291_ymb","JOL","Study1","U",7286,0,"Ex2B"
"M20341291_ymb","JOL","Study1","M",3212,0,"Ex2B"
"M20342004_AO","JOL","Study1","U",2759,0,"Ex2B"
"M20342004_AO","JOL","Study1","M",14539,0,"Ex2B"
"M20343663_rro","JOL","Study1","M",4738,0,"Ex2B"
"M20343663_rro","JOL","Study1","U",3337,0,"Ex2B"
"M20353264_sml","JOL","Study1","M",4082,0,"Ex2B"
"M20353264_sml","JOL","Study1","U",3701,0,"Ex2B"
"20343281EA","JOL","Study1","F",4722,0,"Ex2B"
"20346666jts","JOL","Study1","F",3650,0,"Ex2B"
"M20278923!AJP","JOL","Study1","F",8545,0,"Ex2B"
"M20287742_NT","JOL","Study1","F",3131,0,"Ex2B"
"M20302746LAA","JOL","Study1","F",2933,0,"Ex2B"
"M20302936IB","JOL","Study1","F",9078,100,"Ex2B"
"M20316781_bmd","JOL","Study1","F",4746,100,"Ex2B"
"M20317842","JOL","Study1","F",3837,0,"Ex2B"
