"id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1","source"
"W10192914_JML","","day","0",0,1,"Read","black","Study1","M","Study Phase",2120,"Recall1","USM"
"W10140113ED","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",780,"Recall1","USM"
"w10154105DM","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",448,"Recall1","USM"
"w10161018@usm.edu_JRM","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",1453,"Recall1","USM"
"W10173435VPS","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",2543,"Recall1","USM"
"w10175420MM","hand","hand","1",1,1,"Read","cake","Study1","U","Study Phase",1261,"Recall1","USM"
"w10175528_CLJ","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",487,"Recall1","USM"
"W10192914_JML","","hand","0",0,1,"Read","cake","Study1","U","Study Phase",1282,"Recall1","USM"
"W10140113ED","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",592,"Recall1","USM"
"w10154105DM","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",6484,"Recall1","USM"
"w10161018@usm.edu_JRM","","tooth","0",0,1,"Read","comb","Study1","M","Study Phase",1503,"Recall1","USM"
"W10173435VPS","tooth","tooth","1",1,1,"Read","comb","Study1","M","Study Phase",3244,"Recall1","USM"
"w10175420MM","hair","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",871,"Recall1","USM"
"w10175528_CLJ","brush","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",641,"Recall1","USM"
"W10192914_JML","hair","tooth","0.2",0,1,"Read","comb","Study1","M","Study Phase",1415,"Recall1","USM"
"W10140113ED","","election","0",0,1,"Read","crackle","Study1","U","Study Phase",1128,"Recall1","USM"
"w10154105DM","","election","0",0,1,"Read","crackle","Study1","U","Study Phase",4369,"Recall1","USM"
"w10161018@usm.edu_JRM","electricity","election","0.545454545454545",0,1,"Read","crackle","Study1","U","Study Phase",1303,"Recall1","USM"
"W10173435VPS","election","election","1",1,1,"Read","crackle","Study1","U","Study Phase",8409,"Recall1","USM"
"w10175420MM","pop","election","0.125",0,1,"Read","crackle","Study1","U","Study Phase",604,"Recall1","USM"
"w10175528_CLJ","","election","0",0,1,"Read","crackle","Study1","U","Study Phase",3278,"Recall1","USM"
"W10192914_JML","president","election","0.555555555555556",0,1,"Read","crackle","Study1","U","Study Phase",2404,"Recall1","USM"
"W10140113ED","card","card","1",1,1,"Read","credit","Study1","F","Study Phase",751,"Recall1","USM"
"w10154105DM","card","card","1",1,1,"Read","credit","Study1","F","Study Phase",12882,"Recall1","USM"
"w10161018@usm.edu_JRM","card","card","1",1,1,"Read","credit","Study1","F","Study Phase",1107,"Recall1","USM"
"W10173435VPS","card","card","1",1,1,"Read","credit","Study1","F","Study Phase",2737,"Recall1","USM"
"w10175420MM","","card","0",0,1,"Read","credit","Study1","F","Study Phase",777,"Recall1","USM"
"w10175528_CLJ","","card","0",0,1,"Read","credit","Study1","F","Study Phase",1623,"Recall1","USM"
"W10192914_JML","card","card","1",1,1,"Read","credit","Study1","F","Study Phase",888,"Recall1","USM"
"W10140113ED","lion","lion","1",1,1,"Read","flag","Study1","M","Study Phase",965,"Recall1","USM"
"w10154105DM","lion","lion","1",1,1,"Read","flag","Study1","M","Study Phase",5273,"Recall1","USM"
"w10161018@usm.edu_JRM","","lion","0",0,1,"Read","flag","Study1","M","Study Phase",1770,"Recall1","USM"
"W10173435VPS","fog","lion","0.25",0,1,"Read","flag","Study1","M","Study Phase",4278,"Recall1","USM"
"w10175420MM","","lion","0",0,1,"Read","flag","Study1","M","Study Phase",1131,"Recall1","USM"
"w10175528_CLJ","","lion","0",0,1,"Read","flag","Study1","M","Study Phase",432,"Recall1","USM"
"W10192914_JML","","lion","0",0,1,"Read","flag","Study1","M","Study Phase",1231,"Recall1","USM"
"W10140113ED","day","circle","0",0,1,"Read","fun","Study1","M","Study Phase",616,"Recall1","USM"
"w10154105DM","","circle","0",0,1,"Read","fun","Study1","M","Study Phase",6441,"Recall1","USM"
"w10161018@usm.edu_JRM","","circle","0",0,1,"Read","fun","Study1","M","Study Phase",1599,"Recall1","USM"
"W10173435VPS","circle","circle","1",1,1,"Read","fun","Study1","M","Study Phase",2967,"Recall1","USM"
"w10175420MM","play","circle","0.166666666666667",0,1,"Read","fun","Study1","M","Study Phase",742,"Recall1","USM"
"w10175528_CLJ","","circle","0",0,1,"Read","fun","Study1","M","Study Phase",2781,"Recall1","USM"
"W10192914_JML","","circle","0",0,1,"Read","fun","Study1","M","Study Phase",986,"Recall1","USM"
"W10140113ED","bang","bang","1",1,1,"Read","fuzzy","Study1","U","Study Phase",989,"Recall1","USM"
"w10154105DM","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",4450,"Recall1","USM"
"w10161018@usm.edu_JRM","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",1314,"Recall1","USM"
"W10173435VPS","shoot","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",3763,"Recall1","USM"
"w10175420MM","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",862,"Recall1","USM"
"w10175528_CLJ","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",514,"Recall1","USM"
"W10192914_JML","","bang","0",0,1,"Read","fuzzy","Study1","U","Study Phase",1777,"Recall1","USM"
"W10140113ED","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase",3620,"Recall1","USM"
"w10154105DM","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase",9816,"Recall1","USM"
"w10161018@usm.edu_JRM","","steak","0",0,1,"Read","give","Study1","U","Study Phase",2032,"Recall1","USM"
"W10173435VPS","take","steak","0.8",1,1,"Read","give","Study1","U","Study Phase",1789,"Recall1","USM"
"w10175420MM","","steak","0",0,1,"Read","give","Study1","U","Study Phase",1539,"Recall1","USM"
"w10175528_CLJ","","steak","0",0,1,"Read","give","Study1","U","Study Phase",473,"Recall1","USM"
"W10192914_JML","steak","steak","1",1,1,"Read","give","Study1","U","Study Phase",3678,"Recall1","USM"
"W10140113ED","hygiene","wedding","0.571428571428571",0,1,"Read","hand","Study1","M","Study Phase",925,"Recall1","USM"
"w10154105DM","wedding","wedding","1",1,1,"Read","hand","Study1","M","Study Phase",5980,"Recall1","USM"
"w10161018@usm.edu_JRM","","wedding","0",0,1,"Read","hand","Study1","M","Study Phase",1530,"Recall1","USM"
"W10173435VPS","cake","wedding","0.142857142857143",0,1,"Read","hand","Study1","M","Study Phase",2852,"Recall1","USM"
"w10175420MM","foot","wedding","0",0,1,"Read","hand","Study1","M","Study Phase",569,"Recall1","USM"
"w10175528_CLJ","","wedding","0",0,1,"Read","hand","Study1","M","Study Phase",1952,"Recall1","USM"
"W10192914_JML","wedding","wedding","1",1,1,"Read","hand","Study1","M","Study Phase",1333,"Recall1","USM"
"W10140113ED","hand","clean","0.4",0,1,"Read","hygiene","Study1","F","Study Phase",1090,"Recall1","USM"
"w10154105DM","hand","clean","0.4",0,1,"Read","hygiene","Study1","F","Study Phase",2203,"Recall1","USM"
"w10161018@usm.edu_JRM","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase",1413,"Recall1","USM"
"W10173435VPS","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase",7531,"Recall1","USM"
"w10175420MM","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase",603,"Recall1","USM"
"w10175528_CLJ","","clean","0",0,1,"Read","hygiene","Study1","F","Study Phase",1182,"Recall1","USM"
"W10192914_JML","clean","clean","1",1,1,"Read","hygiene","Study1","F","Study Phase",1508,"Recall1","USM"
"W10140113ED","","bat","0",0,1,"Read","jump","Study1","M","Study Phase",1148,"Recall1","USM"
"w10154105DM","log","bat","0",0,1,"Read","jump","Study1","M","Study Phase",2223,"Recall1","USM"
"w10161018@usm.edu_JRM","","bat","0",0,1,"Read","jump","Study1","M","Study Phase",1526,"Recall1","USM"
"W10173435VPS","run","bat","0",0,1,"Read","jump","Study1","M","Study Phase",2314,"Recall1","USM"
"w10175420MM","","bat","0",0,1,"Read","jump","Study1","M","Study Phase",746,"Recall1","USM"
"w10175528_CLJ","","bat","0",0,1,"Read","jump","Study1","M","Study Phase",382,"Recall1","USM"
"W10192914_JML","bat","bat","1",1,1,"Read","jump","Study1","M","Study Phase",1084,"Recall1","USM"
"W10140113ED","","rod","0",0,1,"Read","keys","Study1","U","Study Phase",566,"Recall1","USM"
"w10154105DM","charm","rod","0.2",0,1,"Read","keys","Study1","U","Study Phase",5127,"Recall1","USM"
"w10161018@usm.edu_JRM","door","rod","0.75",1,1,"Read","keys","Study1","U","Study Phase",1352,"Recall1","USM"
"W10173435VPS","meat","rod","0",0,1,"Read","keys","Study1","U","Study Phase",3740,"Recall1","USM"
"w10175420MM","","rod","0",0,1,"Read","keys","Study1","U","Study Phase",682,"Recall1","USM"
"w10175528_CLJ","","rod","0",0,1,"Read","keys","Study1","U","Study Phase",2253,"Recall1","USM"
"W10192914_JML","","rod","0",0,1,"Read","keys","Study1","U","Study Phase",1595,"Recall1","USM"
"W10140113ED","hear","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",596,"Recall1","USM"
"w10154105DM","","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",2217,"Recall1","USM"
"w10161018@usm.edu_JRM","","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",1400,"Recall1","USM"
"W10173435VPS","hear","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",2026,"Recall1","USM"
"w10175420MM","","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",1934,"Recall1","USM"
"w10175528_CLJ","","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",1231,"Recall1","USM"
"W10192914_JML","ear","fiction","0",0,1,"Read","listen","Study1","U","Study Phase",1344,"Recall1","USM"
"W10140113ED","","trash","0",0,1,"Read","litter","Study1","F","Study Phase",772,"Recall1","USM"
"w10154105DM","","trash","0",0,1,"Read","litter","Study1","F","Study Phase",1109,"Recall1","USM"
"w10161018@usm.edu_JRM","","trash","0",0,1,"Read","litter","Study1","F","Study Phase",1835,"Recall1","USM"
"W10173435VPS","bad","trash","0.2",0,1,"Read","litter","Study1","F","Study Phase",1566,"Recall1","USM"
"w10175420MM","trash","trash","1",1,1,"Read","litter","Study1","F","Study Phase",950,"Recall1","USM"
"w10175528_CLJ","box","trash","0",0,1,"Read","litter","Study1","F","Study Phase",1419,"Recall1","USM"
"W10192914_JML","cat","trash","0.4",0,1,"Read","litter","Study1","F","Study Phase",999,"Recall1","USM"
"W10140113ED","war","war","1",1,1,"Read","loud","Study1","M","Study Phase",1012,"Recall1","USM"
"w10154105DM","","war","0",0,1,"Read","loud","Study1","M","Study Phase",3682,"Recall1","USM"
"w10161018@usm.edu_JRM","","war","0",0,1,"Read","loud","Study1","M","Study Phase",1100,"Recall1","USM"
"W10173435VPS","hear","war","0.5",0,1,"Read","loud","Study1","M","Study Phase",1732,"Recall1","USM"
"w10175420MM","silent","war","0",0,1,"Read","loud","Study1","M","Study Phase",905,"Recall1","USM"
"w10175528_CLJ","","war","0",0,1,"Read","loud","Study1","M","Study Phase",1782,"Recall1","USM"
"W10192914_JML","","war","0",0,1,"Read","loud","Study1","M","Study Phase",1428,"Recall1","USM"
"W10140113ED","","phone","0",0,1,"Read","maze","Study1","U","Study Phase",772,"Recall1","USM"
"w10154105DM","phone","phone","1",1,1,"Read","maze","Study1","U","Study Phase",8878,"Recall1","USM"
"w10161018@usm.edu_JRM","runner","phone","0.333333333333333",0,1,"Read","maze","Study1","U","Study Phase",1290,"Recall1","USM"
"W10173435VPS","phone","phone","1",1,1,"Read","maze","Study1","U","Study Phase",3974,"Recall1","USM"
"w10175420MM","","phone","0",0,1,"Read","maze","Study1","U","Study Phase",607,"Recall1","USM"
"w10175528_CLJ","corn","phone","0.4",0,1,"Read","maze","Study1","U","Study Phase",438,"Recall1","USM"
"W10192914_JML","phone","phone","1",1,1,"Read","maze","Study1","U","Study Phase",1446,"Recall1","USM"
"W10140113ED","","keys","0",0,1,"Read","meat","Study1","U","Study Phase",984,"Recall1","USM"
"w10154105DM","","keys","0",0,1,"Read","meat","Study1","U","Study Phase",5417,"Recall1","USM"
"w10161018@usm.edu_JRM","steak","keys","0.6",0,1,"Read","meat","Study1","U","Study Phase",1652,"Recall1","USM"
"W10173435VPS","keys","keys","1",1,1,"Read","meat","Study1","U","Study Phase",1415,"Recall1","USM"
"w10175420MM","","keys","0",0,1,"Read","meat","Study1","U","Study Phase",535,"Recall1","USM"
"w10175528_CLJ","","keys","0",0,1,"Read","meat","Study1","U","Study Phase",361,"Recall1","USM"
"W10192914_JML","","keys","0",0,1,"Read","meat","Study1","U","Study Phase",1166,"Recall1","USM"
"W10140113ED","","maroon","0",0,1,"Read","mirror","Study1","U","Study Phase",1021,"Recall1","USM"
"w10154105DM","maroon","maroon","1",1,1,"Read","mirror","Study1","U","Study Phase",5595,"Recall1","USM"
"w10161018@usm.edu_JRM","","maroon","0",0,1,"Read","mirror","Study1","U","Study Phase",1416,"Recall1","USM"
"W10173435VPS","maroon","maroon","1",1,1,"Read","mirror","Study1","U","Study Phase",3280,"Recall1","USM"
"w10175420MM","maroon","maroon","1",1,1,"Read","mirror","Study1","U","Study Phase",1339,"Recall1","USM"
"w10175528_CLJ","","maroon","0",0,1,"Read","mirror","Study1","U","Study Phase",303,"Recall1","USM"
"W10192914_JML","","maroon","0",0,1,"Read","mirror","Study1","U","Study Phase",945,"Recall1","USM"
"W10140113ED","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1018,"Recall1","USM"
"W10140113ED","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",3995,"Recall1","USM"
"w10154105DM","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",4949,"Recall1","USM"
"w10154105DM","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",4947,"Recall1","USM"
"w10161018@usm.edu_JRM","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1567,"Recall1","USM"
"w10161018@usm.edu_JRM","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1373,"Recall1","USM"
"W10173435VPS","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",2200,"Recall1","USM"
"W10173435VPS","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1613,"Recall1","USM"
"w10175420MM","horse","donkey","0.333333333333333",0,1,"Read","mule","Study1","F","Study Phase",556,"Recall1","USM"
"w10175420MM","horse","donkey","0.333333333333333",0,1,"Read","mule","Study1","F","Study Phase",478,"Recall1","USM"
"w10175528_CLJ","","donkey","0",0,1,"Read","mule","Study1","F","Study Phase",422,"Recall1","USM"
"w10175528_CLJ","","donkey","0",0,1,"Read","mule","Study1","F","Study Phase",738,"Recall1","USM"
"W10192914_JML","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1024,"Recall1","USM"
"W10192914_JML","donkey","donkey","1",1,1,"Read","mule","Study1","F","Study Phase",1124,"Recall1","USM"
"W10140113ED","sleep","sleep","1",1,1,"Read","nap","Study1","F","Study Phase",1008,"Recall1","USM"
"w10154105DM","sleep","sleep","1",1,1,"Read","nap","Study1","F","Study Phase",5176,"Recall1","USM"
"w10161018@usm.edu_JRM","sleep","sleep","1",1,1,"Read","nap","Study1","F","Study Phase",1278,"Recall1","USM"
"W10173435VPS","sleep","sleep","1",1,1,"Read","nap","Study1","F","Study Phase",1701,"Recall1","USM"
"w10175420MM","","sleep","0",0,1,"Read","nap","Study1","F","Study Phase",658,"Recall1","USM"
"w10175528_CLJ","","sleep","0",0,1,"Read","nap","Study1","F","Study Phase",1198,"Recall1","USM"
"W10192914_JML","","sleep","0",0,1,"Read","nap","Study1","F","Study Phase",1077,"Recall1","USM"
"W10140113ED","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",1426,"Recall1","USM"
"w10154105DM","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",18788,"Recall1","USM"
"w10161018@usm.edu_JRM","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",1413,"Recall1","USM"
"W10173435VPS","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",2143,"Recall1","USM"
"w10175420MM","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",835,"Recall1","USM"
"w10175528_CLJ","","flower","0",0,1,"Read","orchid","Study1","F","Study Phase",462,"Recall1","USM"
"W10192914_JML","flower","flower","1",1,1,"Read","orchid","Study1","F","Study Phase",2486,"Recall1","USM"
"W10140113ED","tree","tree","1",1,1,"Read","pancakes","Study1","M","Study Phase",1004,"Recall1","USM"
"w10154105DM","tree","tree","1",1,1,"Read","pancakes","Study1","M","Study Phase",9076,"Recall1","USM"
"w10161018@usm.edu_JRM","waffles","tree","0.142857142857143",0,1,"Read","pancakes","Study1","M","Study Phase",1753,"Recall1","USM"
"W10173435VPS","tree","tree","1",1,1,"Read","pancakes","Study1","M","Study Phase",8775,"Recall1","USM"
"w10175420MM","food","tree","0",0,1,"Read","pancakes","Study1","M","Study Phase",860,"Recall1","USM"
"w10175528_CLJ","","tree","0",0,1,"Read","pancakes","Study1","M","Study Phase",259,"Recall1","USM"
"W10192914_JML","","tree","0",0,1,"Read","pancakes","Study1","M","Study Phase",2014,"Recall1","USM"
"W10140113ED","plant","plant","1",1,1,"Read","root","Study1","F","Study Phase",872,"Recall1","USM"
"w10154105DM","plant","plant","1",1,1,"Read","root","Study1","F","Study Phase",3636,"Recall1","USM"
"w10161018@usm.edu_JRM","","plant","0",0,1,"Read","root","Study1","F","Study Phase",1486,"Recall1","USM"
"W10173435VPS","plant","plant","1",1,1,"Read","root","Study1","F","Study Phase",4612,"Recall1","USM"
"w10175420MM","plant","plant","1",1,1,"Read","root","Study1","F","Study Phase",1165,"Recall1","USM"
"w10175528_CLJ","","plant","0",0,1,"Read","root","Study1","F","Study Phase",1461,"Recall1","USM"
"W10192914_JML","","plant","0",0,1,"Read","root","Study1","F","Study Phase",1361,"Recall1","USM"
"W10140113ED","ceiling","ceiling","1",1,1,"Read","rug","Study1","M","Study Phase",979,"Recall1","USM"
"w10154105DM","ceiling","ceiling","1",1,1,"Read","rug","Study1","M","Study Phase",6937,"Recall1","USM"
"w10161018@usm.edu_JRM","","ceiling","0",0,1,"Read","rug","Study1","M","Study Phase",1566,"Recall1","USM"
"W10173435VPS","mat","ceiling","0",0,1,"Read","rug","Study1","M","Study Phase",2949,"Recall1","USM"
"w10175420MM","house","ceiling","0.142857142857143",0,1,"Read","rug","Study1","M","Study Phase",725,"Recall1","USM"
"w10175528_CLJ","","ceiling","0",0,1,"Read","rug","Study1","M","Study Phase",439,"Recall1","USM"
"W10192914_JML","ceiling","ceiling","1",1,1,"Read","rug","Study1","M","Study Phase",1798,"Recall1","USM"
"W10140113ED","head","head","1",1,1,"Read","scalp","Study1","F","Study Phase",861,"Recall1","USM"
"w10154105DM","head","head","1",1,1,"Read","scalp","Study1","F","Study Phase",5472,"Recall1","USM"
"w10161018@usm.edu_JRM","head","head","1",1,1,"Read","scalp","Study1","F","Study Phase",1456,"Recall1","USM"
"W10173435VPS","head","head","1",1,1,"Read","scalp","Study1","F","Study Phase",4679,"Recall1","USM"
"w10175420MM","","head","0",0,1,"Read","scalp","Study1","F","Study Phase",672,"Recall1","USM"
"w10175528_CLJ","","head","0",0,1,"Read","scalp","Study1","F","Study Phase",430,"Recall1","USM"
"W10192914_JML","head","head","1",1,1,"Read","scalp","Study1","F","Study Phase",1318,"Recall1","USM"
"W10140113ED","","shake","0",0,1,"Read","shell","Study1","U","Study Phase",3073,"Recall1","USM"
"w10154105DM","ocean","shake","0.4",0,1,"Read","shell","Study1","U","Study Phase",4889,"Recall1","USM"
"w10161018@usm.edu_JRM","","shake","0",0,1,"Read","shell","Study1","U","Study Phase",1386,"Recall1","USM"
"W10173435VPS","shake","shake","1",1,1,"Read","shell","Study1","U","Study Phase",8198,"Recall1","USM"
"w10175420MM","beach","shake","0.6",0,1,"Read","shell","Study1","U","Study Phase",511,"Recall1","USM"
"w10175528_CLJ","","shake","0",0,1,"Read","shell","Study1","U","Study Phase",1598,"Recall1","USM"
"W10192914_JML","","shake","0",0,1,"Read","shell","Study1","U","Study Phase",1177,"Recall1","USM"
"W10140113ED","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",923,"Recall1","USM"
"w10154105DM","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",5382,"Recall1","USM"
"w10161018@usm.edu_JRM","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",1437,"Recall1","USM"
"W10173435VPS","stake","tick","0.4",0,1,"Read","sign","Study1","U","Study Phase",3411,"Recall1","USM"
"w10175420MM","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",1019,"Recall1","USM"
"w10175528_CLJ","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",892,"Recall1","USM"
"W10192914_JML","","tick","0",0,1,"Read","sign","Study1","U","Study Phase",1072,"Recall1","USM"
"W10140113ED","","drink","0",0,1,"Read","sip","Study1","F","Study Phase",707,"Recall1","USM"
"w10154105DM","drink","drink","1",1,1,"Read","sip","Study1","F","Study Phase",4725,"Recall1","USM"
"w10161018@usm.edu_JRM","drink","drink","1",1,1,"Read","sip","Study1","F","Study Phase",1491,"Recall1","USM"
"W10173435VPS","drink","drink","1",1,1,"Read","sip","Study1","F","Study Phase",1615,"Recall1","USM"
"w10175420MM","","drink","0",0,1,"Read","sip","Study1","F","Study Phase",672,"Recall1","USM"
"w10175528_CLJ","","drink","0",0,1,"Read","sip","Study1","F","Study Phase",405,"Recall1","USM"
"W10192914_JML","drink","drink","1",1,1,"Read","sip","Study1","F","Study Phase",720,"Recall1","USM"
"W10140113ED","","belt","0",0,1,"Read","soon","Study1","U","Study Phase",457,"Recall1","USM"
"w10154105DM","","belt","0",0,1,"Read","soon","Study1","U","Study Phase",3597,"Recall1","USM"
"w10161018@usm.edu_JRM","","belt","0",0,1,"Read","soon","Study1","U","Study Phase",1765,"Recall1","USM"
"W10173435VPS","now","belt","0",0,1,"Read","soon","Study1","U","Study Phase",2485,"Recall1","USM"
"w10175420MM","now","belt","0",0,1,"Read","soon","Study1","U","Study Phase",1121,"Recall1","USM"
"w10175528_CLJ","","belt","0",0,1,"Read","soon","Study1","U","Study Phase",467,"Recall1","USM"
"W10192914_JML","","belt","0",0,1,"Read","soon","Study1","U","Study Phase",1034,"Recall1","USM"
"W10140113ED","house","beach","0.4",0,1,"Read","square","Study1","M","Study Phase",1894,"Recall1","USM"
"w10154105DM","landing","beach","0.142857142857143",0,1,"Read","square","Study1","M","Study Phase",2409,"Recall1","USM"
"w10161018@usm.edu_JRM","","beach","0",0,1,"Read","square","Study1","M","Study Phase",1561,"Recall1","USM"
"W10173435VPS","beach","beach","1",1,1,"Read","square","Study1","M","Study Phase",5934,"Recall1","USM"
"w10175420MM","circle","beach","0.333333333333333",0,1,"Read","square","Study1","M","Study Phase",966,"Recall1","USM"
"w10175528_CLJ","","beach","0",0,1,"Read","square","Study1","M","Study Phase",2380,"Recall1","USM"
"W10192914_JML","beach","beach","1",1,1,"Read","square","Study1","M","Study Phase",830,"Recall1","USM"
"W10140113ED","","cloth","0",0,1,"Read","stretch","Study1","U","Study Phase",1686,"Recall1","USM"
"w10154105DM","landing","cloth","0.142857142857143",0,1,"Read","stretch","Study1","U","Study Phase",4716,"Recall1","USM"
"w10161018@usm.edu_JRM","excersise","cloth","0.111111111111111",0,1,"Read","stretch","Study1","U","Study Phase",1315,"Recall1","USM"
"W10173435VPS","cloth","cloth","1",1,1,"Read","stretch","Study1","U","Study Phase",1533,"Recall1","USM"
"w10175420MM","","cloth","0",0,1,"Read","stretch","Study1","U","Study Phase",632,"Recall1","USM"
